#{"t_start": 1776070569.1192172, "env_id": "highway-v0"}
r,l,t
3.9027,6,2428.637379
4.967623,7,2430.830458
21.802392,30,2440.259223
20.625216,30,2449.644622
22.281172,30,2459.018902
9.7793,14,2463.389927
21.24983,30,2472.67624
3.049181,5,2474.256757
21.4148,30,2483.523671
21.809884,30,2492.887334
21.05926,30,2502.269917
7.736401,12,2506.015333
23.405067,30,2515.354758
11.227255,17,2520.730441
4.858063,8,2523.212936
21.178944,30,2532.595274
18.147528,24,2540.183222
23.196439,30,2549.603312
14.802286,21,2556.148373
20.716386,30,2566.21155
20.573864,30,2575.595603
21.327373,30,2584.875902
21.095501,30,2594.259826
5.839622,8,2596.766472
20.573864,30,2606.132522
16.595771,24,2613.576776
20.744562,30,2622.967968
20.888751,30,2632.303326
9.781855,15,2637.001873
21.489844,30,2646.381634
20.454545,30,2655.793434
4.045871,5,2657.354434
22.596019,30,2666.649955
22.91923,30,2676.053015
21.44548,30,2685.373315
20.769432,30,2694.764731
21.486272,30,2704.078614
1.363636,3,2705.041882
12.412549,16,2710.03908
22.508222,30,2719.450986
1.482955,3,2720.422936
20.895599,30,2729.769356
9.843526,12,2733.57646
20.53988,30,2742.921091
20.693182,30,2752.34418
6.372764,10,2755.483882
15.802023,23,2762.784425
20.93632,30,2772.139498
5.25,8,2774.667988
20.966333,30,2784.014962
20.454545,30,2793.480088
20.454545,30,2802.850629
21.059639,30,2812.13847
20.454545,30,2821.484353
20.771718,30,2830.821332
14.374708,20,2837.106601
22.32065,30,2846.55548
20.749348,30,2855.907333
20.53988,30,2865.365911
13.131023,20,2871.583394
14.698351,21,2878.143195
21.26111,30,2887.48986
18.358236,26,2895.592408
21.489833,30,2904.941909
21.532333,30,2914.235802
20.744363,30,2923.514629
20.693182,30,2932.831744
15.034241,22,2939.670836
21.213614,30,2949.107532
20.97637,30,2958.500376
21.99834,30,2967.973634
15.264804,21,2974.569886
21.308712,30,2984.021313
22.835826,30,2993.392354
15.229538,22,3000.306848
4.327327,7,3002.506156
20.690963,30,3011.85984
20.801523,30,3021.281615
9.56234,12,3025.03625
20.454545,30,3034.546366
20.937736,30,3043.901348
21.011346,30,3053.218732
20.454545,30,3062.623125
18.88305,27,3071.122355
11.903397,17,3076.438248
20.653368,30,3085.912038
16.603222,19,3091.859426
18.567693,26,3099.919122
20.778517,30,3109.289203
20.847754,30,3118.629007
20.65698,30,3128.067063
20.738726,30,3137.411998
21.204941,30,3146.742322
20.86283,30,3156.205494
8.740991,13,3160.289321
21.089068,30,3169.619421
22.13547,30,3178.974056
20.744533,30,3188.445278
20.454545,30,3197.831945
17.099494,25,3206.381585
21.612365,30,3215.739926
20.454545,30,3225.143368
2.759115,4,3226.404611
21.163639,30,3235.796638
8.209582,12,3239.60114
20.573864,30,3248.938709
21.491977,30,3258.27282
8.539773,13,3262.33076
20.971588,30,3271.698399
16.645602,25,3279.438522
21.640182,30,3288.728555
13.157975,20,3294.966437
21.252377,30,3304.400394
21.410628,30,3313.746668
21.454483,30,3323.114835
21.060342,30,3332.468403
5.653392,9,3335.303845
20.693182,30,3344.704994
7.738636,12,3348.40724
14.721822,22,3355.284477
20.660191,30,3364.633744
20.858073,30,3373.987178
12.954545,20,3380.263071
20.631022,30,3389.609034
21.924438,30,3398.967947
20.744506,30,3408.208024
17.791923,26,3416.382859
20.738924,30,3425.770083
20.770491,30,3435.064049
21.24983,30,3444.383646
2.164773,4,3445.651022
17.534424,26,3453.803891
20.858044,30,3463.202714
7.896644,12,3466.921792
20.454545,30,3476.400325
21.769443,30,3485.85124
21.124723,30,3495.205224
21.378729,30,3504.528959
20.736676,30,3513.928376
1.985166,3,3514.878332
21.804714,30,3524.183623
20.454545,30,3533.549122
20.454545,30,3542.988417
20.800845,30,3552.364598
3.400196,5,3553.940495
21.146122,30,3563.263407
8.017056,10,3566.402715
20.659198,30,3575.816676
20.53988,30,3585.080109
15.403504,23,3592.214632
4.839791,7,3594.408445
20.53988,30,3603.692617
20.857052,30,3613.051663
20.625356,30,3622.362758
20.53988,30,3631.632615
20.454545,30,3640.992796
11.113744,17,3646.283535
21.530116,30,3655.72539
20.716334,30,3665.189096
21.401111,30,3674.535455
22.153562,30,3683.914256
1.600054,3,3684.852805
20.65698,30,3694.273897
20.886238,30,3703.668417
7.370899,11,3707.114877
21.09344,30,3716.385542
20.778517,30,3725.717099
20.863851,30,3735.077198
6.136364,10,3738.203259
20.742432,30,3747.521633
20.693182,30,3756.818717
10.175963,13,3760.902363
20.94877,30,3770.225322
20.964751,30,3779.628981
20.770491,30,3788.930373
22.158281,30,3798.307398
20.949185,30,3807.686859
20.573864,30,3817.01006
20.625355,30,3826.409467
3.528409,6,3828.319872
20.53988,30,3837.663221
20.744533,30,3847.797582
2.594235,4,3849.063443
20.539909,30,3858.503304
9.187607,14,3862.875261
20.863829,30,3872.160661
20.539857,30,3881.463619
20.690963,30,3890.707943
6.561291,8,3893.219297
20.710831,30,3902.63379
20.659198,30,3911.921872
21.523819,30,3921.259975
20.454545,30,3930.551976
6.757846,9,3933.372597
20.778489,30,3942.859817
2.844372,5,3944.447263
21.170588,30,3953.773812
1.00409,2,3954.430122
21.281793,30,3963.633539
13.838798,21,3970.17409
20.738726,30,3979.507361
21.27216,30,3988.821136
20.53988,30,3998.214975
21.377453,30,4007.451839
21.644691,30,4016.797714
20.659198,30,4026.196742
20.778517,30,4035.575568
20.919877,30,4044.921006
10.585227,16,4049.887738
11.095473,16,4054.900471
20.653391,30,4064.195084
3.526191,6,4066.083905
20.53988,30,4075.306686
20.829868,30,4084.630802
20.653397,30,4093.964455
20.772709,30,4103.375802
20.800728,30,4112.753869
21.361477,30,4122.097144
10.973688,16,4127.10729
20.653391,30,4136.429986
7.738636,12,4140.153177
10.182284,15,4144.849594
2.727273,5,4146.424637
21.367156,30,4155.757245
20.653391,30,4165.033213
20.625239,30,4174.436899
5.571645,9,4177.237175
20.776298,30,4186.555277
20.571645,30,4195.879399
20.778546,30,4205.169562
21.203427,30,4214.459699
20.53988,30,4223.794154
21.150581,30,4233.045784
13.278686,20,4239.30753
21.261446,30,4248.654586
20.454545,30,4258.058702
20.742455,30,4267.41185
21.132045,30,4276.732166
20.742344,30,4286.025306
20.573864,30,4295.331376
7.16947,11,4298.796686
20.454545,30,4308.117783
20.454545,30,4317.484607
20.653391,30,4326.941203
20.653391,30,4336.25769
20.454545,30,4345.565263
20.53988,30,4354.905845
20.858049,30,4364.259327
20.776281,30,4373.618596
20.454545,30,4382.990806
20.738732,30,4392.390171
20.976205,30,4401.858195
20.62522,30,4411.270598
20.65698,30,4420.698128
20.53988,30,4430.043971
18.486355,27,4438.470057
9.617076,14,4442.83244
20.693182,30,4452.256208
20.651173,30,4461.60446
3.619551,6,4463.479201
20.651176,30,4472.838761
21.205729,30,4482.902565
21.414489,30,4492.248383
20.659198,30,4501.615426
20.573864,30,4511.038996
20.454545,30,4520.373257
20.631168,30,4529.629981
20.967157,30,4538.981543
21.022101,30,4548.297184
8.948971,14,4552.641627
20.539881,30,4561.992229
20.545688,30,4571.358097
20.53988,30,4580.611952
20.454545,30,4589.930013
20.454545,30,4599.272463
20.653391,30,4608.678708
20.454545,30,4618.049402
20.736487,30,4627.477361
12.806467,19,4633.403146
20.454545,30,4642.833812
20.929583,30,4652.231976
20.454545,30,4661.613946
20.53988,30,4670.891933
20.659198,30,4680.237725
20.454545,30,4689.585206
20.888647,30,4699.092551
20.454545,30,4708.509616
1.764923,3,4709.472569
20.863992,30,4718.912861
20.454545,30,4728.313859
20.738731,30,4737.701231
20.454545,30,4746.94326
8.418236,13,4751.021665
20.659198,30,4760.322186
20.772709,30,4769.782462
21.408062,30,4779.123903
20.573864,30,4788.538868
20.857051,30,4797.81458
21.203427,30,4807.128528
20.657975,30,4816.523736
20.571645,30,4825.893729
20.573864,30,4835.408584
3.158965,5,4836.969161
2.281855,4,4838.246714
20.53988,30,4847.621197
20.941,30,4857.004287
20.53988,30,4866.311393
20.454545,30,4875.602518
1.124008,2,4876.250926
20.454545,30,4885.66825
20.738726,30,4894.935476
20.454545,30,4904.283777
21.087497,30,4913.69291
20.653392,30,4923.036663
20.858764,30,4932.424647
20.454545,30,4941.746256
20.738895,30,4951.135854
20.625192,30,4960.393228
20.454545,30,4969.802132
21.013072,30,4979.141984
20.454545,30,4988.503482
2.959217,4,4989.780839
20.53988,30,4999.111813
20.744537,30,5008.424364
20.625215,30,5017.757347
20.947231,30,5027.186882
20.573864,30,5036.565101
7.142153,11,5039.997513
21.009127,30,5049.268129
20.965964,30,5058.64497
20.573864,30,5067.980642
20.53988,30,5077.263684
20.540873,30,5086.498622
20.772709,30,5095.795225
20.53988,30,5105.186846
20.539861,30,5114.532137
20.53988,30,5124.635402
20.53988,30,5133.960727
20.454545,30,5143.385781
20.53988,30,5152.764964
20.53988,30,5162.30208
20.539857,30,5171.664294
20.454545,30,5181.009425
20.454545,30,5190.425907
2.045455,4,5191.717379
20.824884,30,5201.048256
21.484191,30,5210.346486
20.53988,30,5219.683698
20.454545,30,5228.966687
20.571645,30,5238.296409
20.944172,30,5247.635169
20.454545,30,5256.982301
20.858242,30,5266.263743
20.659203,30,5275.671542
20.854834,30,5285.12173
8.386476,13,5289.197444
20.454545,30,5298.571474
21.380349,30,5307.886688
20.571645,30,5317.197448
20.964773,30,5326.590755
20.454545,30,5335.872114
20.454545,30,5345.184112
20.454545,30,5354.498895
20.653397,30,5363.86718
20.769499,30,5373.215383
19.439725,28,5381.892889
20.738735,30,5391.322252
20.744533,30,5400.639835
20.53988,30,5409.984964
20.454545,30,5419.319179
20.454545,30,5428.723933
20.53988,30,5438.111103
0.798918,2,5438.77842
20.454545,30,5448.147793
20.454545,30,5457.547574
20.539867,30,5466.903183
20.855834,30,5476.324605
20.53988,30,5485.711587
20.636007,30,5495.045759
