time/iterations,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/value_loss,train/entropy_loss,train/learning_rate,train/n_updates,train/clip_range,train/clip_fraction,train/loss,train/approx_kl,train/explained_variance,train/policy_gradient_loss
67,137216,29.78,42874,20.312285900000003,3,24.597502956166863,-0.5110622020438313,0.0003,660,0.2,0.024169921875,0.7920849323272705,0.0019578864,0.01192021369934082,-0.000798523338380619
68,139264,28.9,43513,19.68591139,3,10.729235392250121,-0.5961744816042482,0.0003,670,0.2,0.109765625,0.10966047644615173,0.0099701695,0.26315730810165405,-0.0038936661941988858
69,141312,28.63,44154,19.51196953,3,55.77344525158405,-0.6848884230479598,0.0003,680,0.2,0.01142578125,19.502931594848633,0.0028794499,0.13793998956680298,-0.000955364950641524
70,143360,29.61,44794,20.20310234,3,40.83352747708559,-0.6396505458280444,0.0003,690,0.2,0.014306640625,49.053802490234375,0.0045648217,0.2726636528968811,-0.0023055429537635064
71,145408,29.59,45433,20.18993309,3,11.256332416459918,-0.6291928455233574,0.0003,700,0.2,0.02958984375,23.986207962036133,0.0042981957,0.22921699285507202,-0.0020227126369718462
72,147456,29.59,46073,20.183031149999998,3,24.51375561254099,-0.6443851144984365,0.0003,710,0.2,0.06591796875,2.1534109115600586,0.007086153,0.14644545316696167,-0.0009437582135433331
73,149504,29.78,46713,20.31807526,3,1.0915505877230316,-0.6882574385032058,0.0003,720,0.2,0.085400390625,1.294847846031189,0.007683999,0.27019041776657104,-0.0020595020476321226
74,151552,29.47,47353,20.11659815,3,11.474010233022273,-0.6857622362673282,0.0003,730,0.2,0.07978515625,19.97845458984375,0.0065031657,0.17468959093093872,-0.00225840437306033
75,153600,29.75,47994,20.329884240000002,3,29.757023865822703,-0.6978490287438035,0.0003,740,0.2,0.0015625,15.329453468322754,0.00031136043,0.09707385301589966,1.0286179895047099e-05
76,155648,29.32,48634,20.02846901,3,2.5903205931186677,-0.7348375225439667,0.0003,750,0.2,0.047216796875,0.36489352583885193,0.006237124,0.6367607116699219,-0.0029826283709553534
77,157696,29.61,49274,20.22550936,3,26.067476142942905,-0.763129310309887,0.0003,760,0.2,0.026025390625,0.41643238067626953,0.0032352498,0.2793431282043457,-0.0008643727051094174
78,159744,29.61,49915,20.213920090000002,3,14.383686172415036,-0.6880017707124353,0.0003,770,0.2,0.053662109375,0.10435016453266144,0.0055559278,0.2601381540298462,-0.00016963095840765162
79,161792,29.55,50555,20.184321620000002,3,9.854793092951876,-0.6621978292241693,0.0003,780,0.2,0.0525390625,0.004899162799119949,0.003669132,0.2447604537010193,-0.0012358405394479633
80,163840,29.95,51195,20.45435403,3,19.88241406902671,-0.6582934431731701,0.0003,790,0.2,0.05693359375,16.023784637451172,0.0025788182,0.021368741989135742,-0.003173600725858705
