rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/explained_variance,train/clip_range,train/loss,train/approx_kl,train/clip_fraction,train/value_loss,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/entropy_loss
29.48,20.11095762,30,20006,61440,3,0.11571288108825684,0.2,8.46536636352539,0.001978487,0.059716796875,33.34443873912096,290,0.0003,-0.004638964480545837,-0.5526580721139908
29.54,20.13820763,31,20672,63488,3,0.22910034656524658,0.2,31.124736785888672,0.0020610967,0.036865234375,22.337225182913244,300,0.0003,-0.002713837082410464,-0.5132198387756943
29.05,19.779917510000004,32,21339,65536,3,0.06854349374771118,0.2,20.116086959838867,0.0028257405,0.017724609375,35.480604180693625,310,0.0003,-0.0017416717615560628,-0.5681385131552815
29.75,20.28867642,33,22007,67584,3,0.14653432369232178,0.2,20.817623138427734,0.002337996,0.0083984375,73.57536074221134,320,0.0003,-0.001252322903019376,-0.49840511865913867
29.86,20.374801480000002,34,22674,69632,3,0.3742656707763672,0.2,8.096229553222656,0.001762278,0.021484375,15.02080895639956,330,0.0003,-0.0009057443581696134,-0.45372394202277067
29.48,20.08925562,35,23341,71680,3,0.15408945083618164,0.2,7.221402645111084,0.0038373894,0.029052734375,14.05435621626675,340,0.0003,-0.0010204347992839758,-0.43492536097764967
29.19,19.88733892,36,24008,73728,3,0.07081478834152222,0.2,19.292049407958984,0.0018447578,0.029150390625,47.72392619661987,350,0.0003,-0.0023964659267221577,-0.5374574307352304
29.29,19.94198914,37,24675,75776,3,0.1736508011817932,0.2,68.85240173339844,0.0017676767,0.035888671875,44.70396858975291,360,0.0003,-0.0016002557014871855,-0.45752859571948645
29.37,20.01430065,38,25341,77824,3,0.07865607738494873,0.2,5.3870849609375,0.001292431,0.002392578125,59.48770725131035,370,0.0003,-0.0008445505754934857,-0.47848350228741765
28.61,19.47868614,39,26008,79872,3,0.2986906170845032,0.2,62.50704574584961,0.01010141,0.0275390625,25.042039400152863,380,0.0003,-0.002108561741260928,-0.45526341823861005
29.41,20.04226678,40,26675,81920,3,0.3208569288253784,0.2,1.0627318620681763,0.003317075,0.033935546875,41.230116818659006,390,0.0003,-0.001953755879731034,-0.49573037018999455
29.57,20.15654078,41,27341,83968,3,0.13001781702041626,0.2,1.790137767791748,0.0017812249,0.041357421875,35.01843730099499,400,0.0003,-0.0022938434580282775,-0.4488486278802156
29.08,19.80672208,42,28009,86016,3,0.15013927221298218,0.2,2.849921226501465,0.0027217495,0.038134765625,39.43415611498058,410,0.0003,-0.0011208726678887614,-0.46393184112384916
28.84,19.63241442,43,28675,88064,3,0.2639739513397217,0.2,23.287906646728516,0.0016660107,0.023291015625,53.78248623237014,420,0.0003,-0.0019490501334075816,-0.4592827595770359
29.38,20.02590416,44,29342,90112,3,0.3921283483505249,0.2,65.05563354492188,0.0019463788,0.01796875,57.804420568048954,430,0.0003,-0.0010478469728695927,-0.5214062537997961
29.63,20.204745619999997,45,30008,92160,3,0.5358256101608276,0.2,15.5266695022583,0.002728527,0.039794921875,20.877087670564652,440,0.0003,-0.0032051043752289845,-0.5037080785259604
29.4,20.04049281,46,30675,94208,3,0.38012075424194336,0.2,1.3575290441513062,0.004769032,0.043603515625,14.421965086460114,450,0.0003,-0.001973033245303668,-0.45930730998516084
