#{"t_start": 1776079954.582204, "env_id": "highway-v0"}
r,l,t
13.091886,17,11424.39942
6.455339,8,11434.46136
2.996627,4,11439.593286
22.148477,24,11470.046444
5.754246,7,11478.927943
8.083995,10,11491.571295
8.555997,11,11505.58604
10.155009,12,11520.869976
3.959047,5,11527.33688
6.279,8,11537.477603
5.156236,7,11546.381606
21.388089,23,11575.621769
3.955092,5,11582.050327
5.355114,7,11591.054958
4.554793,6,11598.621133
9.955322,11,11612.46164
9.79255,11,11626.446675
3.959047,5,11632.792629
21.511392,24,11662.961592
5.851494,8,11673.103705
3.560246,5,11679.466223
8.754753,11,11693.375674
8.608504,11,11707.309283
2.275553,3,11711.115202
12.559492,15,11730.163076
9.406133,11,11744.189673
15.753954,17,11765.667918
3.957198,5,11772.002984
12.014928,15,11791.106189
7.356084,9,11802.428414
12.959012,14,11820.205094
18.886095,23,11849.16536
14.924543,16,11869.446045
6.951363,8,11879.610449
11.978265,17,11901.213102
2.72405,4,11906.233234
7.595269,9,11917.675569
14.812937,18,11940.355467
21.177547,24,11970.59386
1.786234,3,11974.439241
11.106693,15,11993.321033
6.161527,8,12003.479776
11.955312,13,12020.239477
5.354336,7,12029.227933
12.953113,15,12048.254199
12.205147,15,12067.278171
3.560246,5,12073.641534
9.953208,11,12087.538398
8.884421,10,12100.105928
10.132138,14,12118.13084
18.92809,22,12145.959515
4.553193,6,12153.542971
11.91803,13,12170.057703
12.361913,16,12190.182737
13.15729,16,12210.420519
6.163762,8,12220.561239
13.611566,16,12241.105965
13.552158,16,12261.491825
2.399343,4,12266.641672
1.958373,3,12270.484013
4.132609,6,12278.125439
7.797891,10,12290.754428
14.066046,15,12309.833572
9.982792,12,12324.897906
9.389698,11,12338.930276
8.760149,10,12351.58996
2.564214,4,12356.670938
8.457522,10,12369.202431
3.959047,5,12375.548591
1.196243,2,12378.159867
2.604127,4,12383.211622
4.959018,6,12390.826634
11.203315,13,12407.201127
4.955589,6,12414.770097
5.398169,7,12423.669465
10.883299,13,12439.956705
8.402291,11,12453.813638
