rollout/ep_rew_mean,time/fps,time/time_elapsed,time/episodes,time/total_timesteps,rollout/exploration_rate,rollout/ep_len_mean,train/learning_rate,train/n_updates,train/loss,eval/mean_reward,eval/mean_ep_length
9.404438119999998,0,11769,764,9091,0.4242366666666664,11.18,0.0005,8090,0.7675954699516296,,
9.303318310000002,0,11846,768,9152,0.42037333333333315,11.1,0.0005,8151,0.8266929984092712,,
9.479960140000001,0,11903,772,9197,0.41752333333333336,11.31,0.0005,8196,0.4758369028568268,,
9.653785970000001,0,11971,776,9251,0.41410333333333427,11.52,0.0005,8250,0.4796433448791504,,
9.47096823,0,12026,780,9294,0.41137999999999997,11.37,0.0005,8293,0.14082899689674377,,
9.399659,0,12084,784,9340,0.4084666666666664,11.27,0.0005,8339,0.5716285705566406,,
9.515088969999999,0,12150,788,9392,0.4051733333333326,11.42,0.0005,8391,0.33977386355400085,,
9.71519434,0,12217,792,9445,0.40181666666666727,11.64,0.0005,8444,0.7835760712623596,,
9.63973374,0,12267,796,9484,0.39934666666666585,11.58,0.0005,8483,0.6827687621116638,,
9.59853022,0,12322,800,9527,0.39662333333333355,11.51,0.0005,8526,0.26673242449760437,,
9.49879121,0,12366,804,9562,0.39440666666666724,11.42,0.0005,8561,0.8119691610336304,,
9.25529916,0,12388,808,9579,0.39332999999999974,11.16,0.0005,8578,0.7458356618881226,,
9.027339240000002,0,12437,812,9618,0.39086000000000054,10.88,0.0005,8617,0.6863246560096741,,
8.68789995,0,12482,816,9654,0.38858000000000026,10.51,0.0005,8653,0.8226165175437927,,
8.78354772,0,12547,820,9705,0.3853500000000003,10.59,0.0005,8704,0.3815319240093231,,
8.733691540000002,0,12582,824,9733,0.3835766666666659,10.54,0.0005,8732,0.501209557056427,,
8.936851829999998,0,12656,828,9791,0.3799033333333337,10.75,0.0005,8790,0.4815690815448761,,
9.04773056,0,12728,832,9848,0.37629333333333337,10.89,0.0005,8847,0.4906969964504242,,
9.020064020000001,0,12778,836,9888,0.3737600000000003,10.88,0.0005,8887,0.4767059087753296,,
8.964789190000001,0,12839,840,9936,0.3707199999999994,10.83,0.0005,8935,0.44869598746299744,,
9.09820935,0,12908,844,9990,0.36730000000000007,10.97,0.0005,8989,1.227832555770874,,
,,,,10000,0.36673000000000067,,0.0005,8999,0.909758448600769,9.328542,10.4
9.002949780000002,0,13092,848,10024,0.3651466666666675,10.88,0.0005,9023,0.35769301652908325,,
9.16455442,0,13149,852,10069,0.3622966666666656,11.04,0.0005,9068,0.3938911259174347,,
9.14651853,0,13207,856,10115,0.3593833333333343,11.02,0.0005,9114,0.5115753412246704,,
9.31642393,0,13269,860,10164,0.3562799999999996,11.21,0.0005,9163,0.814148485660553,,
9.527804159999999,0,13354,864,10231,0.3520366666666659,11.4,0.0005,9230,0.7117958664894104,,
9.42447977,0,13418,868,10281,0.34886999999999957,11.29,0.0005,9280,0.5961620807647705,,
